Origin,Destination,Date,Departure,Arrival,Duration,Changes,Single Price,Return Price,Status,direction,link
BTH,BFD,27072019,19:54,22:52,02:58,2,41.4,40.0,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BTH/270719/0700/dep/270719/1830/dep
BTH,BFD,27072019,20:49,23:23,02:34,2,29.0,58.2,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BTH/270719/0700/dep/270719/1830/dep
BTH,BFD,27072019,22:03,07:05,09:02,2,33.5,58.2,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BTH/270719/0700/dep/270719/1830/dep
BFD,CBW,27072019,07:24,09:53,02:29,3,40.8,40.9,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/270719/0700/dep/270719/1830/dep
BFD,CBW,27072019,07:54,10:08,02:14,2,40.8,40.9,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/270719/0700/dep/270719/1830/dep
BFD,CBW,27072019,08:09,10:53,02:44,2,34.5,34.6,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/270719/0700/dep/270719/1830/dep
BFD,CBW,27072019,08:24,10:53,02:29,3,40.8,40.9,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/270719/0700/dep/270719/1830/dep
BFD,CBW,27072019,08:54,11:08,02:14,2,40.8,40.9,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/270719/0700/dep/270719/1830/dep
CBW,BFD,27072019,18:25,20:37,02:12,2,40.8,40.9,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/270719/0700/dep/270719/1830/dep
CBW,BFD,27072019,18:42,21:07,02:25,3,40.8,40.9,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/270719/0700/dep/270719/1830/dep
CBW,BFD,27072019,18:42,21:22,02:40,2,34.5,34.6,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/270719/0700/dep/270719/1830/dep
CBW,BFD,27072019,19:25,21:37,02:12,2,40.8,40.9,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/270719/0700/dep/270719/1830/dep
CBW,BFD,27072019,19:42,22:07,02:25,3,40.8,40.9,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBW/270719/0700/dep/270719/1830/dep
BFD,RYE,27072019,07:24,09:46,02:22,3,44.0,44.5,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/270719/0700/dep/270719/1830/dep
BFD,RYE,27072019,07:54,10:46,02:52,2,37.9,38.1,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/RYE/270719/0700/dep/270719/1830/dep
