Origin,Destination,Date,Price
BFD,CBW,24-07-2019,41.6
BFD,CBW,25-07-2019,41.6
BFD,CBW,26-07-2019,41.6
BFD,CBW,27-07-2019,34.6
BFD,CBW,28-07-2019,40.9
BFD,CBW,29-07-2019,41.6
BFD,CBW,30-07-2019,41.6
BFD,CBW,31-07-2019,41.6
BFD,CBW,01-08-2019,41.6
BFD,CBW,02-08-2019,41.6
BFD,CBW,03-08-2019,34.6
BFD,CBW,04-08-2019,40.9
BFD,CBW,05-08-2019,41.6
BFD,CBW,06-08-2019,41.6
BFD,CBW,07-08-2019,41.6
BFD,CBW,08-08-2019,41.6
BFD,CBW,09-08-2019,41.6
BFD,CBW,10-08-2019,34.6
BFD,CBW,11-08-2019,34.6
BFD,CBW,12-08-2019,41.6
BFD,CBW,13-08-2019,41.6
BFD,CBW,14-08-2019,41.6
BFD,CBW,15-08-2019,41.6
BFD,CBW,16-08-2019,41.6
BFD,CBW,17-08-2019,34.6
BFD,CBW,18-08-2019,34.6
BFD,CBW,19-08-2019,41.6
BFD,CBW,24-08-2019,34.6
BFD,CBW,25-08-2019,34.6
BFD,CBW,26-08-2019,34.6
BFD,CBW,31-08-2019,34.6
BFD,CBW,01-09-2019,34.6
BFD,CBW,07-09-2019,34.6
BFD,CBW,08-09-2019,40.9
BFD,CBW,14-09-2019,34.6
BFD,CBW,15-09-2019,34.6
BFD,CBW,21-09-2019,34.6
BFD,CBW,22-09-2019,40.9
BFD,DVP,17-06-2019,49.7
BFD,DVP,18-06-2019,49.7
BFD,DVP,19-06-2019,49.7
BFD,DVP,20-06-2019,49.7
BFD,DVP,21-06-2019,49.7
BFD,DVP,22-06-2019,40.2
BFD,DVP,23-06-2019,40.2
BFD,DVP,24-06-2019,49.7
BFD,DVP,25-06-2019,49.7
BFD,DVP,26-06-2019,49.7
BFD,DVP,27-06-2019,49.7
BFD,DVP,28-06-2019,49.7
BFD,DVP,29-06-2019,40.2
BFD,DVP,30-06-2019,40.2
BFD,DVP,01-07-2019,49.7
BFD,DVP,02-07-2019,49.7
BFD,DVP,03-07-2019,49.7
BFD,DVP,04-07-2019,49.7
BFD,DVP,05-07-2019,49.7
BFD,DVP,06-07-2019,40.2
BFD,DVP,07-07-2019,40.2
BFD,DVP,08-07-2019,49.7
BFD,DVP,09-07-2019,49.7
BFD,DVP,10-07-2019,49.7
BFD,DVP,11-07-2019,49.7
BFD,DVP,12-07-2019,49.7
BFD,DVP,13-07-2019,40.2
BFD,DVP,14-07-2019,46.5
BFD,DVP,15-07-2019,49.7
BFD,DVP,16-07-2019,49.7
BFD,DVP,17-07-2019,49.7
BFD,DVP,18-07-2019,49.7
BFD,DVP,19-07-2019,49.7
BFD,DVP,20-07-2019,40.2
BFD,DVP,21-07-2019,46.5
BFD,DVP,22-07-2019,49.7
BFD,DVP,23-07-2019,49.7
BFD,DVP,24-07-2019,49.7
BFD,DVP,25-07-2019,49.7
BFD,DVP,26-07-2019,49.7
BFD,DVP,27-07-2019,46.5
BFD,DVP,28-07-2019,46.5
BFD,DVP,29-07-2019,49.7
BFD,DVP,30-07-2019,49.7
BFD,DVP,31-07-2019,49.7
BFD,DVP,01-08-2019,49.7
BFD,DVP,02-08-2019,49.7
BFD,DVP,03-08-2019,46.5
BFD,DVP,04-08-2019,40.2
BFD,DVP,05-08-2019,49.7
BFD,DVP,06-08-2019,49.7
BFD,DVP,07-08-2019,49.7
BFD,DVP,08-08-2019,49.7
BFD,DVP,09-08-2019,49.7
BFD,DVP,10-08-2019,40.2
BFD,DVP,11-08-2019,40.2
BFD,DVP,12-08-2019,49.7
BFD,DVP,13-08-2019,49.7
BFD,DVP,14-08-2019,49.7
BFD,DVP,15-08-2019,49.7
BFD,DVP,16-08-2019,49.7
BFD,DVP,17-08-2019,40.2
BFD,DVP,18-08-2019,46.5
BFD,DVP,19-08-2019,49.7
BFD,DVP,24-08-2019,40.2
BFD,DVP,25-08-2019,40.2
BFD,DVP,26-08-2019,40.2
BFD,DVP,31-08-2019,40.2
BFD,DVP,01-09-2019,40.2
BFD,DVP,07-09-2019,40.2
BFD,DVP,08-09-2019,46.5
BFD,DVP,14-09-2019,40.2
BFD,DVP,15-09-2019,40.2
BFD,DVP,21-09-2019,40.2
BFD,DVP,22-09-2019,40.2
BFD,NRW,17-06-2019,62.5
BFD,NRW,18-06-2019,50.3
BFD,NRW,19-06-2019,50.3
BFD,NRW,20-06-2019,62.5
BFD,NRW,21-06-2019,62.5
BFD,NRW,22-06-2019,62.0
BFD,NRW,23-06-2019,55.7
BFD,NRW,24-06-2019,50.3
BFD,NRW,25-06-2019,31.8
BFD,NRW,26-06-2019,31.8
BFD,NRW,27-06-2019,31.8
BFD,NRW,28-06-2019,37.1
BFD,NRW,29-06-2019,62.0
BFD,NRW,30-06-2019,62.5
BFD,NRW,01-07-2019,31.8
BFD,NRW,02-07-2019,31.8
BFD,NRW,03-07-2019,31.8
BFD,NRW,04-07-2019,31.8
BFD,NRW,05-07-2019,31.8
BFD,NRW,06-07-2019,62.0
BFD,NRW,07-07-2019,62.5
BFD,NRW,08-07-2019,31.8
BFD,NRW,09-07-2019,31.8
BFD,NRW,10-07-2019,31.8
BFD,NRW,11-07-2019,31.8
BFD,NRW,12-07-2019,31.8
BFD,NRW,13-07-2019,43.5
BFD,NRW,14-07-2019,55.6
BFD,NRW,15-07-2019,31.8
BFD,NRW,16-07-2019,31.8
BFD,NRW,17-07-2019,31.8
BFD,NRW,18-07-2019,31.8
BFD,NRW,19-07-2019,31.8
BFD,NRW,20-07-2019,38.4
BFD,NRW,21-07-2019,43.5
BFD,NRW,22-07-2019,31.8
BFD,NRW,23-07-2019,31.8
BFD,NRW,24-07-2019,31.8
BFD,NRW,25-07-2019,31.8
BFD,NRW,26-07-2019,31.8
BFD,NRW,27-07-2019,31.8
BFD,NRW,28-07-2019,37.1
BFD,NRW,29-07-2019,31.8
BFD,NRW,30-07-2019,31.8
BFD,NRW,31-07-2019,31.8
BFD,NRW,01-08-2019,31.8
BFD,NRW,02-08-2019,31.8
BFD,NRW,03-08-2019,31.8
BFD,NRW,04-08-2019,31.8
BFD,NRW,05-08-2019,31.8
BFD,NRW,06-08-2019,31.8
BFD,NRW,07-08-2019,31.8
BFD,NRW,08-08-2019,31.8
BFD,NRW,09-08-2019,31.8
BFD,NRW,10-08-2019,31.8
BFD,NRW,11-08-2019,31.8
BFD,NRW,12-08-2019,31.8
BFD,NRW,13-08-2019,31.8
BFD,NRW,14-08-2019,31.8
BFD,NRW,15-08-2019,31.8
BFD,NRW,16-08-2019,31.8
BFD,NRW,17-08-2019,31.8
BFD,NRW,18-08-2019,31.8
BFD,NRW,19-08-2019,31.8
BFD,NRW,24-08-2019,31.8
BFD,NRW,25-08-2019,31.8
BFD,NRW,26-08-2019,31.8
BFD,NRW,31-08-2019,31.8
BFD,NRW,01-09-2019,31.8
BFD,NRW,07-09-2019,31.8
